Product Name,Price,Rating
AILYONS FK-0318 Stainless Steel 3.5L Electric Kettle-Ultra Plus Kettle.,"KSh 1,499",None
Haier HCR2031EED1 3 Gas + 1 Electric 60X60 Cooker with Electric Oven ,"KSh 51,395",None
"Amtec 43L12, 43"" FHD Smart Android TV, Netfix, Youtube - Black","KSh 21,210",None
"Mika MWD1502/GBL- Water Dispenser, Hot,Normal&Cold - Gold & Black","KSh 8,995",None
"Apple Refurbished MacBook Pro 13"" Core I5 4GB RAM, 500GB HDD ( 2012)  2.5GHz- Silver","KSh 25,999",None
Rashnik Electric Water Dispenser Pump,KSh 429,None
Epson EcoTank L6570 Wi-Fi Duplex Multifunction ADF InkTank Printer,"KSh 180,000",None
Sundabest 6pcs 250ml High Quality Whiskey Glass. (1051),KSh 517,None
Qwen Aluminum Alloy Laptop Stand Computer Stand,KSh 650,None
Amaze Fridge/Freezer Guard-UnderVoltage&Surge Protection,KSh 599,None
Maybelline Lifter Gloss Petal With Hyaluronic Acid,"KSh 1,650",None
Mosquito Net With Metallic Stand 4 By 6 - Purple,"KSh 1,330",None
Fashion Men Pants Trousers Overalls Cargo Pants Men Clothes,KSh 730,None
Fashion 10pcs Makeup Brushes Set For Foundation -Black,KSh 499,None
Garnier Micellar Cleansing Jelly Water With Charcoal,KSh 895,None
VON Von VALS-75BWY Twin Tub Washing Machine - 7.5Kg,"KSh 29,995",None
Dp Light LED Rechargeable Lamp Bulb With USB - 20 W,KSh 490,None
Vobyl Spearmint Tea,KSh 750,None
Istanbul 2 Modern TV Stand With LED Lights,"KSh 7,999",None
Geemy Electric Hair Trimmer Barbering Machine - Kinyozi,"KSh 1,250",None
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black.","KSh 12,199",None
Breathable Game Finger Sleeves For Enhanced Gaming,KSh 50,None
Fashion 2 In 1 Men Short Sleeve Polo Shirt,"KSh 1,290",None
Anti Theft Laptop Bag  Travel Backpack Grey,"KSh 1,430",None
"Tecno Pop 7 Pro 4G, 6.6"" HD+, 3GB RAM + 64GB (Dual SIM), 5000mAh, Uyuni Blue","KSh 11,499",None
MK Electric Fridge Guard Plus Free 4-Way Extension Cable,KSh 869,None
Regulator FOR 6KG GAS Plus FREE Pipe+ 2 Free Hose Clamps,KSh 639,None
Electric Shock & Laser Pointer Powerful Torch,KSh 900,None
Dark And Lovely Waterless Cleanser - 250ml,KSh 595,None
True Wireles Earbuds MIC Bluetooth Headsets,KSh 371,None
Fashion 4PCs Most Beautiful Printed Seamless Panties(Hips 38-44inches),KSh 738,None
Wireless 2.4G Mouse Rechargeable 5.2 Bluetooth Silent Mouse,KSh 939,None
"Samsung Galaxy A03 Core, 6.5"", (Dual SIM) 32GB + 2GB RAM, 5000mAh_ Black + FREE GIFTS","KSh 12,499",None
"AILYONS 2.2L  Elegant Automatic Water Heater & Boiler Jug,Cordeless","KSh 1,219",None
"Nokia 105 Africa Edition - 1.77"" - Wireless FM Radio -  800mAh - Charcoal Black","KSh 2,999",None
"Freeyond F9,2GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Black","KSh 10,700",None
Fashion 2 In 1 Men's Short Sleeve Shorts Casual Set-White,"KSh 1,050",None
Silicone Women's G Spot Vaginal Vibrator Dildo Sex Toy (Pink),"KSh 1,349",None
Fashion Retro Copper 3.0 Waterproof Flash Drive 128G  Rose Gold,KSh 300,None
Bathroom Corner Shelf -Black,KSh 889,None
Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer,"KSh 2,300",None
Nunix Nunix 138L Double Door Fridge Energy Efficient,"KSh 28,050",None
Fashion Women Shoes Boots Heels Martin Boots Ankle Boots Ladies Shoes Combat Boots,"KSh 1,099",None
"Tecno Spark 20 ,Android 13, 6.6"",256+8GB,50MP Camera,5000mAh,Gravity Black","KSh 23,999",None
Fashion Men's Official  Pure Leather Shoes - Black,"KSh 1,350",None
12 Inch Ring Light With 2M Tripod Stand,"KSh 1,700",None
Anti Theft Laptop Bag  Travel Backpack Black,"KSh 1,420",None
Fashion 6 Pack Round Neck Plain T-shirts,"KSh 3,500",None
Fashion 2 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags,KSh 899,None
Ceriotti GEK 3800watts// Blow Dry Hair,"KSh 3,229",None
Royco Mchuzi Mix Beef Flavour Seasoning - 500g,KSh 177,None
"HP Refurbished EliteBook 8470p Core I5 - HDD 500GB - 4GB RAM WIFI CAM Silver - 14""","KSh 16,199",None
Pembe Pembe All Purpose Home Baking Flour - 2Kg,KSh 213,None
"14-43"" TV Wall Bracket+Tv Guard+Extension+ Aerial","KSh 1,800",None
Fashion 【 Black 】 Men's Shoes Mens Sneakers Canvas Trendy Casual Sports Breathable Loafers,KSh 999,None
Fashion Stylish Mock Neck Ribbed Bodycon Dress(Hips 36-44inches Fit),KSh 579,None
Micolor 5PCs Fit Me Matte Poreless Powder+Liquid Foundation+Primer+Finish Spray+Concealer& FREE MakeUp Bag,"KSh 899 - KSh 1,199",None
"Itel A04, 6.3"", Display Size2GB RAM + 32GB ROM, (Dual SIM), 4000mAh,sply""","KSh 8,250",None
Line One 100% Whey Protein Mass Gainer Double Chocolate 500g - Fast Muscle Growth - Post-Workout,"KSh 3,499",None
Kiss Beauty Mini Moisturizing And Nourishing Plumping Lip Oil,KSh 250,None
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,"KSh 1,299",None
M25 Bluetooth Headphones TWS Wireless Earphones Touch Control Noise Reduction Stereo Earpods Gaming Headsets With Mic,"KSh 1,200",None
